Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
Projects,Контракт,"Покриття тема комерція, змінено по завданню Дениса.pbix",Покриття,Filter4425c79cd30d8211ac40,1
Teritories,Підрозділи,"Покриття тема комерція, змінено по завданню Дениса.pbix",Покриття,Filter0f7ec30ae919157d3786,1
