Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
Projects,Контракт,Покриття тема комерція.pbix,Покриття,Filter4425c79cd30d8211ac40,1
Teritories,Підрозділи,Покриття тема комерція.pbix,Покриття,Filter94c59ed35140e909e72b,1
