Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
DimDates,DateNormal,ABC-аналіз.pbix,Сторінка 1,Filterc7950df02ae15160400b,1
Organizations,Організації,ABC-аналіз.pbix,Сторінка 1,Filter4427855d9042000d7162,1
Projects,Контракт,ABC-аналіз.pbix,Сторінка 1,Filterd07741b46d08288a482c,1
