Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
,,Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,Filter49a838434d53db8e29a1,1
Warehouses,тип складу (bic),Виконання планів продажу Mars.pbix,Залишки ВЕН,Filterd3758546f8dbd8ea34c2,1
