Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
Agents,Торгові представники,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,Filter2,1
Agents,Торгові представники,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,Filter2,1
Agents,Торгові представники,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,Filter2,1
Comands,Команди,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,Filter1,1
Comands,Команди,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,Filter1,1
Comands,Команди,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,Filter1,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,Filter,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,Filter,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,Filter,1
