Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки контракт (помісячно)',Filter,1
,,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки регіон (помісячно)',Filter,2
,,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Залишки на поч. місяця',Filterb00d1edbe9169deddd82,1
,,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Залишки на поч. місяця',Filterc8a8ec684c270bb4a829,1
,,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Filter,3
,,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Аналіз виконання плану закупок по регіонах',Filter,3
,,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Закупки помісячно',Filter,2
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Залишки на поч. місяця',Filter,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Filter,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Filter,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Filter,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки по категоріях,'Залишки по категоріях товарів',Filter,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Виконання планів закупки',Filter,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Filter,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",'Обертовість залишків по контрактах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Аналіз залишків по товару',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Залишки на поч. місяця',Filter2,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Filter2,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Аналіз залишків по регіонах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Аналіз залишків по складах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Filter2,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Filter2,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по категоріях,'Залишки по категоріях товарів',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки по категоріях,'Залишки по категоріях товарів',Filter2,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Аналіз виконання плану закупок по регіонах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Виконання планів закупки',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Виконання планів закупки',Filter2,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Закупки помісячно',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Filter2,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",'Обертовість залишків по контрактах',Filter,1
Clients,Клієнти,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",'Обертовість залишків по контрактах',Filter2,1
Debts,Action,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Залишки на поч. місяця',Filter1,1
Debts,Action,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Filter1,1
Debts,Action,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Filter1,1
Debts,Action,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Filter1,1
Debts,Action,Залишки та закупки (по брендах).pbix,Залишки по категоріях,'Залишки по категоріях товарів',Filter1,1
Debts,Action,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Виконання планів закупки',Filter1,1
Debts,Action,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Filter1,1
Debts,Action,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",'Обертовість залишків по контрактах',Filter1,1
DimDates,DateHierarchy.Місяць,Залишки та закупки (по брендах).pbix,Аналіз закупок,4c1a78756300423d1755,Values,1
DimDates,DateHierarchy.Рік,Залишки та закупки (по брендах).pbix,Аналіз закупок,f2347c2a975ece7ca9cd,Values,1
DimDates,DateNormal,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Columns,1
DimDates,DateNormal,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Filter,1
DimDates,DateNormal,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Rows,1
DimDates,DateNormal,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Values,1
DimDates,Period,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки контракт (помісячно)',Columns,1
DimDates,Period,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки контракт (помісячно)',Rows,1
DimDates,Period,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки контракт (помісячно)',Values,1
DimDates,Period,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки регіон (помісячно)',Rows,1
DimDates,Period,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки регіон (помісячно)',Values,1
DimDates,Period,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Закупки помісячно',Category,1
DimDates,Period,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Закупки помісячно',Tooltips,1
DimDates,Місяць,Залишки та закупки (по брендах).pbix,Залишки по брендах,8511c2ef95f08735aac9,Values,1
DimDates,Місяць,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Закупки помісячно',Filter,1
DimDates,Місяць,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",9deffc0702ec2929b7ea,Values,1
DimDates,Період,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки регіон (помісячно)',Filter,1
Organizations,Організації,Залишки та закупки (по брендах).pbix,Аналіз закупок,569e45660eb431e46220,Values,1
PlaneOfIn,Сума план закупки (без ПДВ,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Виконання планів закупки',Rows,1
PlaneOfIn,Сума план закупки (без ПДВ,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Виконання планів закупки',Values,1
PlaneOfIn,Сума план закупки (без ПДВ,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",'Обертовість залишків по контрактах',Values,1
PlaneOfSales,Сума план продажу (з ПДВ,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",'Обертовість залишків по контрактах',Values,1
PlanZak,Сума плану закупки (без ПДВ,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Аналіз виконання плану закупок по регіонах',Category,1
PlanZak,Сума плану закупки (без ПДВ,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Аналіз виконання плану закупок по регіонах',Y,1
Products,Category1,Залишки та закупки (по брендах).pbix,Залишки по категоріях,'Залишки по категоріях товарів',Rows,1
Products,Category2,Залишки та закупки (по брендах).pbix,Залишки по категоріях,'Залишки по категоріях товарів',Rows,1
Products,Category3,Залишки та закупки (по брендах).pbix,Залишки по категоріях,'Залишки по категоріях товарів',Rows,1
Products,Артикул,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Filter,1
Products,Артикул,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Values,1
Products,Товари,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Аналіз залишків по товару',Category,1
Products,Товари,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Аналіз залишків по товару',Y,1
Products,Товари,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Rows,1
Products,Товари,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Filter,1
Products,Товари,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки в періоді,bb782de81a6c82a65ed4,Filterffed6f14ac5066d57275,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки в періоді,bb782de81a6c82a65ed4,Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки контракт (помісячно)',Rows,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки контракт (помісячно)',Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки по брендах,b123e3d4386b8bb3dc97,Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Залишки на поч. місяця',Filter6752bda7c1d70e861457,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Залишки на поч. місяця',Rows,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Rows,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки по регіонах,535d2cd32e9c0e761050,Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Rows,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,103e4efb5e2508887693,Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки по категоріях,103e4efb5e2508887693,Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Аналіз закупок,44bd3d62079c57d14390,Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Виконання планів закупки',Rows,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки поденно,535d2cd32e9c0e761050,Values,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Rows,1
Projects,Бренди,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",605e54a000e3fb726ecb,Values,1
Projects,Контракт,Залишки та закупки (по брендах).pbix,Залишки в періоді,'Залишки регіон (помісячно)',Filter,1
Projects,Контракт,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Залишки на поч. місяця',Filter6978c89f4070de4cb408,1
Projects,Контракт,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,'Обертовість залишків по контрактах',Filter,1
Projects,Контракт,Залишки та закупки (по брендах).pbix,Аналіз закупок,9f45b0e55a05801b2dec,Values,1
Projects,Контракт,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Аналіз виконання плану закупок по регіонах',Filter1,1
Projects,Контракт,Залишки та закупки (по брендах).pbix,Аналіз закупок,'Закупки помісячно',Filter1,1
Projects,Контракт,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",d746e9961ea56c8fd082,field,1
Projects,Контракт,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",'Обертовість залишків по контрактах',Values,1
Sales,vs.Продажі по с\\в без пдв (-30,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Rows,1
Sales,vs.Продажі по с\\в без пдв (-30,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Values,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Rows,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки та закупки (по брендах).pbix,Залишки по брендах,'Обертовість залишків по контрактах',Values,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки та закупки (по брендах).pbix,Залишки по регіонах,'Аналіз залишків по регіонах',Category,1
