Filter Name,Table,Col/Measure,Filter Type
Filtera006ffde8e1c677855df,IssuingCash_1,KOMPANIYA,Categorical
Filtercf527fb2d87f6a41a3b7,IssuingCash_1,REGION,Categorical
Filterd95291b4722d70864175,IssuingCash_1,STATTYA_VYTRAT,Categorical
