Filter Name,Table,Col/Measure,Filter Type
Filter13d710927238096329c0,ProductsExtended,MainSupplierCode,Categorical
Filter7eba3ff8d8f1679a7c5d,ProductsExtended,ProductBrandCode,Categorical
