Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
_ABC_Classes,_ABC_Percent_Stocks,ABC-аналіз.pbix,ABC-аналіз,'Аналіз поденно',Columns,1
_ABC_Classes,_ABC_Percent_Stocks,ABC-аналіз.pbix,ABC-аналіз,'Аналіз поденно',Rows,1
_ABC_Classes,_ABC_Percent_Stocks,ABC-аналіз.pbix,ABC-аналіз,'Аналіз поденно',Values,1
_ABC_Classes,_ABC_Percent_Stocks,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз поденно',Columns,1
_ABC_Classes,_ABC_Percent_Stocks,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз поденно',Rows,1
_ABC_Classes,_ABC_Percent_Stocks,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз поденно',Values,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,ABC-аналіз,'ABC-продажі',Category,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,ABC-аналіз,'ABC-продажі',Y,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,ABC-аналіз,'Аналіз ABC',Rows,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,ABC-аналіз,'Аналіз ABC',Values,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,ABC-аналіз,'Аналіз поденно',Columns,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,ABC-аналіз,'Аналіз поденно',Rows,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,ABC-аналіз,'Аналіз поденно',Values,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'ABC-продажі',Category,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'ABC-продажі',Y,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз ABC',Rows,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз ABC',Values,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз поденно',Columns,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз поденно',Rows,1
_ABC_Classes,_ABC_SalesAmount,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз поденно',Values,1
_ABC_Classes,_ABC_Stock_Rotation,ABC-аналіз.pbix,ABC-аналіз,'Аналіз ABC',Rows,1
_ABC_Classes,_ABC_Stock_Rotation,ABC-аналіз.pbix,ABC-аналіз,'Аналіз ABC',Values,1
_ABC_Classes,_ABC_Stock_Rotation,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз ABC',Rows,1
_ABC_Classes,_ABC_Stock_Rotation,ABC-аналіз.pbix,"""ABC-аналіз"" із деталізацією SKU",'Аналіз ABC',Values,1
_ABC_Classes,_ABC_StockSum,ABC-аналіз.pbix,ABC-аналіз,'',Y,1
_ABC_Classes,_ABC_StockSum,ABC-аналіз.pbix,ABC-аналіз,'ABC-залишки',Y,1
