Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,АКБ.pbix,АКБ,'АКБ за поточний місяць',Filter,1
Brands,Name,АКБ.pbix,акб по регіонах і ТА,e7ccdda3db00c2d02e74,Filter,1
Brands,Name,АКБ.pbix,акб по регіонах і ТА,e7ccdda3db00c2d02e74,Values,1
BUs,BU,АКБ.pbix,АКБ,'АКБ за поточний місяць',Category,1
BUs,BU,АКБ.pbix,АКБ,'АКБ за поточний місяць',Series,1
BUs,BU,АКБ.pbix,АКБ історія,601989a8eb8d4e070b25,Category,1
BUs,BU,АКБ.pbix,АКБ історія,601989a8eb8d4e070b25,Filter,1
BUs,BU,АКБ.pbix,акб по регіонах і ТА,601989a8eb8d4e070b25,Category,1
BUs,BU,АКБ.pbix,акб по регіонах і ТА,601989a8eb8d4e070b25,Filter,1
Contractors,Name,АКБ.pbix,акб по регіонах і ТА,'Оборот по клієнтах',Category,1
DeliveryAddresses,Name,АКБ.pbix,акб по регіонах і ТА,'Продажі по торгових точках',Category,1
DimDates,DateNormal,АКБ.pbix,АКБ,'АКБ за поточний місяць',Filter1,1
DimDates,MonthName,АКБ.pbix,АКБ історія,0dd1471fc7c41e28b848,Category,1
DimDates,MonthName,АКБ.pbix,АКБ історія,806df55ae65093081c7c,Category,1
DimDates,MonthName,АКБ.pbix,АКБ історія,9cb9dda3d996721a6025,Rows,1
DimDates,MonthName,АКБ.pbix,акб по регіонах і ТА,806df55ae65093081c7c,Category,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,0dd1471fc7c41e28b848,Category,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,0dd1471fc7c41e28b848,Series,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,0dd1471fc7c41e28b848,Y,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,30f4a5e9862944100220,Category,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,9cb9dda3d996721a6025,Columns,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,9cb9dda3d996721a6025,Rows,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,9cb9dda3d996721a6025,Values,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,'Бренди (по спаданню АКБ)',Color,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,'Бренди (по спаданню АКБ)',Values,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,'Постачальники (по спаданню АКБ)',Category,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,'Постачальники (по спаданню АКБ)',Color,1
DimDates,YearNumber,АКБ.pbix,АКБ історія,'Постачальники (по спаданню АКБ)',Values,1
DimDates,YearNumber,АКБ.pbix,акб по регіонах і ТА,30f4a5e9862944100220,Values,1
Organizations,Name,АКБ.pbix,АКБ історія,a45455a6545d407aa515,Filter,1
Organizations,Name,АКБ.pbix,АКБ історія,a45455a6545d407aa515,Values,1
Organizations,Name,АКБ.pbix,Сторінка 1,'Net Sales Value by Organization',Values,1
Organizations,Name,АКБ.pbix,акб по регіонах і ТА,e345bc73a59453deea8e,Filter,1
Organizations,Name,АКБ.pbix,акб по регіонах і ТА,e345bc73a59453deea8e,Values,1
ProductsExtended,Group,АКБ.pbix,Сторінка 1,'Net Sales Value by Organization',Filter,1
ProductsExtended,Group,АКБ.pbix,Сторінка 1,'Net Sales Value by Organization',Values,1
ProductsExtended,MainSupplierName,АКБ.pbix,АКБ історія,'',Filter,1
ProductsExtended,MainSupplierName,АКБ.pbix,АКБ історія,'',Filterb15785df008ed49813e8,1
ProductsExtended,MainSupplierName,АКБ.pbix,АКБ історія,'',Values,1
ProductsExtended,MainSupplierName,АКБ.pbix,АКБ історія,'Постачальники (по спаданню АКБ)',Category,1
ProductsExtended,MainSupplierName,АКБ.pbix,АКБ історія,'Постачальники (по спаданню АКБ)',Values,1
ProductsExtended,MainSupplierName,АКБ.pbix,акб по регіонах і ТА,e44f5515b0700c2cd9b8,Filter,1
ProductsExtended,MainSupplierName,АКБ.pbix,акб по регіонах і ТА,e44f5515b0700c2cd9b8,Values,1
ProductsExtended,MainSupplierName,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по Контрактах',Category,1
ProductsExtended,ProductBrandName,АКБ.pbix,АКБ історія,'',Filter,1
ProductsExtended,ProductBrandName,АКБ.pbix,АКБ історія,'',Filter18453d546858a8621a10,1
ProductsExtended,ProductBrandName,АКБ.pbix,АКБ історія,'',Values,1
ProductsExtended,ProductBrandName,АКБ.pbix,АКБ історія,'Бренди (по спаданню АКБ)',Category,1
ProductsExtended,ProductBrandName,АКБ.pbix,АКБ історія,'Бренди (по спаданню АКБ)',Color,1
ProductsExtended,ProductBrandName,АКБ.pbix,АКБ історія,'Бренди (по спаданню АКБ)',Values,1
Sales,Contractors,АКБ.pbix,АКБ,'АКБ за поточний місяць',Category,1
Sales,Contractors,АКБ.pbix,АКБ,'АКБ за поточний місяць',Series,1
Sales,Contractors,АКБ.pbix,АКБ,'АКБ за поточний місяць',Size,1
Sales,Contractors,АКБ.pbix,АКБ,'АКБ за поточний місяць',Tooltips,1
Sales,Contractors,АКБ.pbix,акб по регіонах і ТА,978944c7b0c673980a15,Values,1
Sales,Net Sales Value (UAH VAT inc,АКБ.pbix,акб по регіонах і ТА,'Оборот по клієнтах',Category,1
Sales,Net Sales Value (UAH VAT inc,АКБ.pbix,акб по регіонах і ТА,'Оборот по клієнтах',Y,1
Sales,Net Sales Value (UAH VAT inc,АКБ.pbix,акб по регіонах і ТА,'Продажі по торгових точках',Category,1
Sales,Net Sales Value (UAH VAT inc,АКБ.pbix,акб по регіонах і ТА,'Продажі по торгових точках',Size,1
Sales,PoS/Contractors,АКБ.pbix,АКБ,'АКБ за поточний місяць',Category,1
Sales,PoS/Contractors,АКБ.pbix,АКБ,'АКБ за поточний місяць',Series,1
Sales,PoS/Contractors,АКБ.pbix,АКБ,'АКБ за поточний місяць',Size,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,0dd1471fc7c41e28b848,Category,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,0dd1471fc7c41e28b848,Y,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,4ebf94b3eb5b98c01513,Values,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,601989a8eb8d4e070b25,Category,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,601989a8eb8d4e070b25,Values,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,806df55ae65093081c7c,Category,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,806df55ae65093081c7c,Values,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,9cb9dda3d996721a6025,Rows,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,9cb9dda3d996721a6025,Values,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,'Бренди (по спаданню АКБ)',Values,1
Sales,PoS/Contractors,АКБ.pbix,АКБ історія,'Постачальники (по спаданню АКБ)',Values,1
Sales,PoS/Contractors,АКБ.pbix,Сторінка 1,87549e04a21c18bbb82c,Values,1
Sales,PoS/Contractors,АКБ.pbix,Сторінка 1,'Net Sales Value by Organization',Values,2
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,4ebf94b3eb5b98c01513,Values,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,601989a8eb8d4e070b25,Category,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,601989a8eb8d4e070b25,Values,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,806df55ae65093081c7c,Category,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,806df55ae65093081c7c,Values,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,d82357dc1805dc16e000,Values,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по Контрактах',Category,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по Контрактах',Y,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по торгових представниках',Category,1
Sales,PoS/Contractors,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по торгових представниках',Y,1
SalesPersonesExtended,Name,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по торгових представниках',Category,1
SalesPersonesExtended,Parent1,АКБ.pbix,акб по регіонах і ТА,6669efc19d2e6aea2989,Filter,1
SalesPersonesExtended,Parent1,АКБ.pbix,акб по регіонах і ТА,6669efc19d2e6aea2989,Values,1
Territories,Name,АКБ.pbix,АКБ,'АКБ за поточний місяць',Category,1
Territories,Name,АКБ.pbix,АКБ,'АКБ за поточний місяць',Filter,1
Territories,Name,АКБ.pbix,АКБ історія,4ebf94b3eb5b98c01513,Category,1
Territories,Name,АКБ.pbix,АКБ історія,4ebf94b3eb5b98c01513,Values,1
Territories,Name,АКБ.pbix,Сторінка 1,87549e04a21c18bbb82c,Values,1
Territories,Name,АКБ.pbix,акб по регіонах і ТА,4ebf94b3eb5b98c01513,Category,1
Territories,Name,АКБ.pbix,акб по регіонах і ТА,4ebf94b3eb5b98c01513,Values,1
Territories,Name,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по торгових представниках',Category,1
Territories,Name,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по торгових представниках',Series,1
Territories,Name,АКБ.pbix,акб по регіонах і ТА,'Покриття АТТ по торгових представниках',Y,1
