Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,КольороваСтатистика.pbix,Деталізація,f36a2d6a875d048be92b,Filter,7
,,КольороваСтатистика.pbix,Проникнення в буфер,"'Продажі, як є'",Filter54332dc470480049d991,1
,,КольороваСтатистика.pbix,Проникнення в буфер,"'Продажі, як є'",Filterad4698a4e04470570b47,1
,,КольороваСтатистика.pbix,Суммы за 4 дня,f36a2d6a875d048be92b,Filter07676b8eb38e0bc3ff9f,1
,,КольороваСтатистика.pbix,Суммы за 4 дня,f36a2d6a875d048be92b,Filter4744d33f02b68fd8eb79,1
,,КольороваСтатистика.pbix,Суммы за 4 дня,f36a2d6a875d048be92b,Filter61a189452ce27703cda5,1
,,КольороваСтатистика.pbix,Суммы за 4 дня,f36a2d6a875d048be92b,Filter73cc1f3de36143db4ef0,1
,,КольороваСтатистика.pbix,Суммы за 4 дня,f36a2d6a875d048be92b,Filterb520e65b9df7f1020e46,1
Brands,Name,КольороваСтатистика.pbix,OverStock,61eba44789617913782c,Filter,1
Brands,Name,КольороваСтатистика.pbix,Деталізація,a43ea20c7194b8ac8bb7,Filter,1
Brands,Name,КольороваСтатистика.pbix,Буфер залишку Food,61eba44789617913782c,Filter,1
Brands,Name,КольороваСтатистика.pbix,Буфер залишку Food,c4826ac6ebed307d53fc,Filter,1
Brands,Name,КольороваСтатистика.pbix,Проникнення в буфер2,61eba44789617913782c,Filter,1
Brands,Name,КольороваСтатистика.pbix,Проникнення в буфер2,c4826ac6ebed307d53fc,Filter,1
Brands,Name,КольороваСтатистика.pbix,Проникнення в буфер,622fec4bbe639615f480,Filter,1
Brands,Name,КольороваСтатистика.pbix,Проникнення в буфер,70bdf3b7573090074f8c,Filter,1
Brands,Name,КольороваСтатистика.pbix,Кольорова статистика,61eba44789617913782c,Filter,1
Brands,Name,КольороваСтатистика.pbix,Кольорова статистика,c4826ac6ebed307d53fc,Filter,1
Brands,Name,КольороваСтатистика.pbix,Продажи с обрезанными пиками,61eba44789617913782c,Filter,1
Brands,Name,КольороваСтатистика.pbix,Суммы за 4 дня,61eba44789617913782c,Filter,1
Brands,Name,КольороваСтатистика.pbix,Сторінка 2,55ef63e90db2baa96380,Filter,1
Brands,Name,КольороваСтатистика.pbix,Сторінка 2,da9971bc22c93b1c7c1e,Filter,1
Brands,Name,КольороваСтатистика.pbix,"Повтор розділу ""Буфер залишку Food""",61eba44789617913782c,Filter,1
Brands,Name,КольороваСтатистика.pbix,"Повтор розділу ""Буфер залишку Food""",c4826ac6ebed307d53fc,Filter,1
Buffer,Buffer,КольороваСтатистика.pbix,Сторінка 1,550f995123fcdf3c2c45,Values,1
Buffer,Date,КольороваСтатистика.pbix,Сторінка 1,550f995123fcdf3c2c45,Values,1
Buffer,WarehouseSegmentCode,КольороваСтатистика.pbix,Сторінка 1,550f995123fcdf3c2c45,Values,1
Buffer,WarehouseSegmentCode,КольороваСтатистика.pbix,Сторінка 1,7fb632243bd89d1f1277,Values,1
ColoredStatistic,BufferAllDates,КольороваСтатистика.pbix,Проникнення в буфер2,"'Продажі, як є'",Rows,1
ColoredStatistic,BufferAllDates,КольороваСтатистика.pbix,Проникнення в буфер2,"'Продажі, як є'",Values,1
ColoredStatistic,BufferLastDate,КольороваСтатистика.pbix,ПідказкаБуфер,a5859d900e8052cbcc22,Values,1
ColoredStatistic,ColoredStatistic_,КольороваСтатистика.pbix,Кольорова статистика,f16741573d7e4a29ca5b,Columns,1
ColoredStatistic,ColoredStatistic_,КольороваСтатистика.pbix,Кольорова статистика,f16741573d7e4a29ca5b,Rows,1
